# per-frame global motion of reference/10291_0.mp4, in source pixels (1080x864).
# Reproduce: python3 tools/motionkit.py flow <clip> --out reference/motion.txt
# Phase correlation measured at 540 wide and scaled back, so values come in steps of 2.
frame	dx	dy	cum_x	cum_y
0	2.0	0.0	2.0	0.0
1	2.0	0.0	4.0	0.0
2	2.0	0.0	6.0	0.0
3	4.0	2.0	10.0	2.0
4	18.0	6.0	28.0	8.0
5	24.0	10.0	52.0	18.0
6	50.0	30.0	102.0	48.0
7	32.0	12.0	134.0	60.0
8	76.0	28.0	210.0	88.0
9	80.0	24.0	290.0	112.0
10	38.0	14.0	328.0	126.0
11	76.0	28.0	404.0	154.0
12	74.0	28.0	478.0	182.0
13	60.0	22.0	538.0	204.0
14	46.0	18.0	584.0	222.0
15	40.0	16.0	624.0	238.0
16	46.0	18.0	670.0	256.0
17	20.0	8.0	690.0	264.0
18	18.0	6.0	708.0	270.0
19	16.0	6.0	724.0	276.0
20	14.0	4.0	738.0	280.0
21	6.0	2.0	744.0	282.0
22	14.0	6.0	758.0	288.0
23	4.0	2.0	762.0	290.0
24	8.0	2.0	770.0	292.0
25	6.0	2.0	776.0	294.0
26	6.0	2.0	782.0	296.0
27	4.0	2.0	786.0	298.0
28	6.0	2.0	792.0	300.0
29	4.0	2.0	796.0	302.0
30	2.0	2.0	798.0	304.0
31	2.0	2.0	800.0	306.0
32	2.0	0.0	802.0	306.0
33	2.0	0.0	804.0	306.0
34	2.0	0.0	806.0	306.0
35	2.0	0.0	808.0	306.0
36	2.0	0.0	810.0	306.0
37	2.0	0.0	812.0	306.0
38	2.0	0.0	814.0	306.0
39	2.0	0.0	816.0	306.0
40	2.0	0.0	818.0	306.0
41	2.0	0.0	820.0	306.0
42	2.0	0.0	822.0	306.0
43	2.0	0.0	824.0	306.0
44	2.0	0.0	826.0	306.0
45	0.0	0.0	826.0	306.0
46	2.0	0.0	828.0	306.0
47	2.0	0.0	830.0	306.0
48	2.0	0.0	832.0	306.0
49	2.0	0.0	834.0	306.0
50	2.0	0.0	836.0	306.0
51	6.0	2.0	842.0	308.0
52	50.0	18.0	892.0	326.0
53	70.0	26.0	962.0	352.0
54	74.0	30.0	1036.0	382.0
55	64.0	30.0	1100.0	412.0
56	78.0	28.0	1178.0	440.0
57	36.0	14.0	1214.0	454.0
58	62.0	22.0	1276.0	476.0
59	54.0	20.0	1330.0	496.0
60	44.0	16.0	1374.0	512.0
61	34.0	12.0	1408.0	524.0
62	28.0	10.0	1436.0	534.0
63	22.0	8.0	1458.0	542.0
64	26.0	10.0	1484.0	552.0
65	14.0	6.0	1498.0	558.0
66	10.0	4.0	1508.0	562.0
67	8.0	4.0	1516.0	566.0
68	8.0	2.0	1524.0	568.0
69	4.0	2.0	1528.0	570.0
70	6.0	2.0	1534.0	572.0
71	4.0	2.0	1538.0	574.0
72	4.0	2.0	1542.0	576.0
73	4.0	2.0	1546.0	578.0
74	4.0	2.0	1550.0	580.0
75	4.0	2.0	1554.0	582.0
76	2.0	0.0	1556.0	582.0
77	2.0	0.0	1558.0	582.0
78	2.0	0.0	1560.0	582.0
79	2.0	0.0	1562.0	582.0
80	2.0	0.0	1564.0	582.0
81	2.0	0.0	1566.0	582.0
82	0.0	0.0	1566.0	582.0
83	2.0	0.0	1568.0	582.0
84	2.0	0.0	1570.0	582.0
85	2.0	0.0	1572.0	582.0
86	2.0	0.0	1574.0	582.0
87	2.0	0.0	1576.0	582.0
88	2.0	0.0	1578.0	582.0
89	2.0	0.0	1580.0	582.0
90	2.0	0.0	1582.0	582.0
91	2.0	0.0	1584.0	582.0
92	0.0	0.0	1584.0	582.0
93	2.0	0.0	1586.0	582.0
94	2.0	0.0	1588.0	582.0
95	2.0	0.0	1590.0	582.0
96	2.0	0.0	1592.0	582.0
97	2.0	0.0	1594.0	582.0
98	2.0	0.0	1596.0	582.0
99	2.0	0.0	1598.0	582.0
100	2.0	0.0	1600.0	582.0
101	2.0	0.0	1602.0	582.0
102	2.0	0.0	1604.0	582.0
103	2.0	0.0	1606.0	582.0
104	0.0	0.0	1606.0	582.0
105	2.0	0.0	1608.0	582.0
106	2.0	0.0	1610.0	582.0
107	2.0	0.0	1612.0	582.0
108	2.0	0.0	1614.0	582.0
109	2.0	0.0	1616.0	582.0
110	2.0	0.0	1618.0	582.0
111	2.0	0.0	1620.0	582.0
112	2.0	0.0	1622.0	582.0
113	2.0	0.0	1624.0	582.0
114	2.0	0.0	1626.0	582.0
115	0.0	0.0	1626.0	582.0
116	0.0	0.0	1626.0	582.0
117	2.0	0.0	1628.0	582.0
118	2.0	0.0	1630.0	582.0
